First name,Last name,Affiliation
Valentina,Staneva,University of Washington
Michael,Stebbins,Arnold Foundation
Vicky,Steeves,New York University
Matthew,Stephens,University of Chicago
Sarah,Stone,University of Washington
Carly,Strasser,Moore Foundation
Werner,Stuetzle,University of Washington
Anthony,Suen,University of California at Berkeley
Blair,Sullivan,North Carolina State University
Nick,Swanson-Hysell,University of California at Berkeley
Alex,Szalay,Johns Hopkins University
Anissa,Tanweer,University of Washington
Tracy,Teal,Data Carpentry
Lenny,Teytelman,Protocols.io
Joshua,Tucker,New York University
Matthew,Turk,University of Illinois
Daniela,Ushizima,University of California at Berkeley
Stí©fan,van der Walt,University of California at Berkeley
Mollie,Van Gordon,University of California at Berkeley
Nelle,Varoquaux,University of California at Berkeley
Huy,Vo,City University of New York
Laura,Waller,University of California at Berkeley
Gao,Wang,University of Chicago
Xin Ru (Nancy),Wang,University of Washington
Gregory,Way,University of Pennsylvania
Thaisa,Way,University of Washington
Jevin,West,University of Washington
Jamie,Whitacre,University of California at Berkeley
Ethan,White,University of Florida
Chris,Wiggins,Columbia University
Debra,Williams,Pearson
Li-Hao,Yeh,University of California at Berkeley
Bowen,Yu,New York University
Ashley,Zauderer,Templeton Foundation
Maria,Zemankova,National Science Foundation
Kathleen Hill,Zichy,New York University
